Field Name,Type,Optional,Fixed,Size,Comments
reportId,unsignedint,N,Y,8,Unique identifer of the **report**.
timestamp,unsignedint,Y,Y,31,"Report timestamp, seconds since *1970-01-01T00:00:00Z*.

Only present if configured in *metadata* options."
parameters,array,N,N,100,A set of parameter values defined by the **report** configuration.
   * paramId,unsignedint,N,N/A,8,The ``paramId`` being reported.
   * value,"dynamic

* unsignedint
* signedint
* string
* data",N,N/A,N/A,"Value with data type corresponding to the parameter encoding:

* ``uint8``, ``uint16`` use *unsignedInt*
* ``int8``, ``int16``, ``int32`` use *signedInt*
* ``float32``, ``string``, ``base64string`` use *string*
* ``raw`` uses *data*"
   * paramTimestamp,unsignedint,Y,N/A,31,"Parameter timestamp in seconds since *1970-01-01T00:00:00Z*.

Only present if ``paramTimestamp`` is configured in *metadata* options."
latitude,signedint,Y,Y,24,"Latitude in milliminutes, if present in *metadata* options.

Divide by 60000 to get decimal degrees (round to 6 decimal places precision)."
longitude,signedint,Y,Y,25,"Longitude in milliminutes, if present in *metadata* options.

Divide by 60000 to get decimal degrees (round to 6 decimal places precision)."
altitude,signedint,Y,Y,20,"Altitude in meters above sea level, if present in *metadata* options."
